# Title: January - December 2007 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,11.57,15,-7.18,18.75
CA-003,Alpine County,California,20.82,6,-15.32,36.14
CA-005,Amador County,California,23.83,18,-11.4,35.23
CA-007,Butte County,California,28.11,15,-16.3,44.41
CA-009,Calaveras County,California,23.36,19,-10.91,34.27
CA-011,Colusa County,California,14.36,21,-7.64,22
CA-013,Contra Costa County,California,11.26,16,-7.23,18.49
CA-015,Del Norte County,California,67.71,40,-12.28,79.99
CA-017,El Dorado County,California,29,13,-15.64,44.64
CA-019,Fresno County,California,10.33,6,-9.27,19.6
CA-021,Glenn County,California,13.78,13,-12.1,25.88
CA-023,Humboldt County,California,50.28,28,-13.11,63.39
CA-025,Imperial County,California,1.99,25,-1.39,3.38
CA-027,Inyo County,California,2.87,5,-3.37,6.24
CA-029,Kern County,California,4.1,6,-4.95,9.05
CA-031,Kings County,California,3.91,7,-3.7,7.61
CA-033,Lake County,California,24.8,12,-18.66,43.46
CA-035,Lassen County,California,12.36,7,-8.04,20.4
CA-037,Los Angeles County,California,6.18,6,-9.38,15.56
CA-039,Madera County,California,11.56,4,-11.56,23.12
CA-041,Marin County,California,21.67,16,-13.81,35.48
CA-043,Mariposa County,California,17.28,7,-15.53,32.81
CA-045,Mendocino County,California,33.12,14,-18.49,51.61
CA-047,Merced County,California,5.98,7,-5.29,11.27
CA-049,Modoc County,California,13.43,17,-4.64,18.07
CA-051,Mono County,California,8.82,5,-6.81,15.63
CA-053,Monterey County,California,9.71,7,-10.39,20.1
CA-055,Napa County,California,17.53,14,-13.57,31.1
CA-057,Nevada County,California,34.96,21,-15.41,50.37
CA-059,Orange County,California,5.43,6,-8.12,13.55
CA-061,Placer County,California,31.24,21,-14.53,45.77
CA-063,Plumas County,California,25.91,12,-15.3,41.21
CA-065,Riverside County,California,4.73,18,-3.76,8.49
CA-067,Sacramento County,California,12.52,20,-6.17,18.69
CA-069,San Benito County,California,8.42,7,-8.32,16.74
CA-071,San Bernardino County,California,3.65,16,-3.21,6.86
CA-073,San Diego County,California,7.43,9,-6.86,14.29
CA-075,San Francisco County,California,16.1,20,-8.2,24.3
CA-077,San Joaquin County,California,8.86,14,-5.19,14.05
CA-079,San Luis Obispo County,California,7.75,8,-9.41,17.16
CA-081,San Mateo County,California,16.66,13,-12,28.66
CA-083,Santa Barbara County,California,8.01,9,-10.83,18.84
CA-085,Santa Clara County,California,12.84,9,-10.27,23.11
CA-087,Santa Cruz County,California,17.15,9,-15.9,33.05
CA-089,Shasta County,California,27.48,15,-14.46,41.94
CA-091,Sierra County,California,29.6,14,-16.15,45.75
CA-093,Siskiyou County,California,30.24,28,-8.57,38.81
CA-095,Solano County,California,11.76,15,-8.03,19.79
CA-097,Sonoma County,California,26.8,20,-15.22,42.02
CA-099,Stanislaus County,California,7.92,11,-5.73,13.65
CA-101,Sutter County,California,11.72,13,-7.26,18.98
CA-103,Tehama County,California,22.12,12,-14.39,36.51
CA-105,Trinity County,California,38.12,15,-19.37,57.49
CA-107,Tulare County,California,12.6,13,-9.24,21.84
CA-109,Tuolumne County,California,24.6,9,-16.24,40.84
CA-111,Ventura County,California,8.31,9,-12.1,20.41
CA-113,Yolo County,California,12.11,14,-7.9,20.01
CA-115,Yuba County,California,25.73,18,-12,37.73
