# Title: January - December 2020 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,8.42,4,-10.33,18.75
CA-003,Alpine County,California,20.43,4,-15.71,36.14
CA-005,Amador County,California,20.32,5,-14.91,35.23
CA-007,Butte County,California,19.16,3,-25.25,44.41
CA-009,Calaveras County,California,18.94,4,-15.33,34.27
CA-011,Colusa County,California,6.88,2,-15.12,22
CA-013,Contra Costa County,California,7.23,2,-11.26,18.49
CA-015,Del Norte County,California,55.96,14,-24.03,79.99
CA-017,El Dorado County,California,25.9,4,-18.74,44.64
CA-019,Fresno County,California,9.62,3,-9.98,19.6
CA-021,Glenn County,California,7.22,1,-18.66,25.88
CA-023,Humboldt County,California,37.67,6,-25.72,63.39
CA-025,Imperial County,California,2.69,53,-0.69,3.38
CA-027,Inyo County,California,2.99,7,-3.25,6.24
CA-029,Kern County,California,6.05,28,-3,9.05
CA-031,Kings County,California,4.54,17,-3.07,7.61
CA-033,Lake County,California,17.02,3,-26.44,43.46
CA-035,Lassen County,California,10.81,3,-9.59,20.4
CA-037,Los Angeles County,California,10.89,42,-4.67,15.56
CA-039,Madera County,California,11.06,3,-12.06,23.12
CA-041,Marin County,California,13.07,2,-22.41,35.48
CA-043,Mariposa County,California,15.78,4,-17.03,32.81
CA-045,Mendocino County,California,22.11,2,-29.5,51.61
CA-047,Merced County,California,5.77,6,-5.5,11.27
CA-049,Modoc County,California,12.92,12,-5.15,18.07
CA-051,Mono County,California,7.71,3,-7.92,15.63
CA-053,Monterey County,California,10.21,9,-9.89,20.1
CA-055,Napa County,California,10.32,3,-20.78,31.1
CA-057,Nevada County,California,27.42,4,-22.95,50.37
CA-059,Orange County,California,9.57,42,-3.98,13.55
CA-061,Placer County,California,24.95,3,-20.82,45.77
CA-063,Plumas County,California,21.66,3,-19.55,41.21
CA-065,Riverside County,California,6.62,49,-1.87,8.49
CA-067,Sacramento County,California,8.06,3,-10.63,18.69
CA-069,San Benito County,California,8.72,9,-8.02,16.74
CA-071,San Bernardino County,California,4.44,31,-2.42,6.86
CA-073,San Diego County,California,11.35,48,-2.94,14.29
CA-075,San Francisco County,California,9.44,2,-14.86,24.3
CA-077,San Joaquin County,California,6.6,5,-7.45,14.05
CA-079,San Luis Obispo County,California,9.31,13,-7.85,17.16
CA-081,San Mateo County,California,10.95,2,-17.71,28.66
CA-083,Santa Barbara County,California,11.34,20,-7.5,18.84
CA-085,Santa Clara County,California,12.47,7,-10.64,23.11
CA-087,Santa Cruz County,California,14.51,4,-18.54,33.05
CA-089,Shasta County,California,23.3,5,-18.64,41.94
CA-091,Sierra County,California,24.33,3,-21.42,45.75
CA-093,Siskiyou County,California,23.22,5,-15.59,38.81
CA-095,Solano County,California,6.51,2,-13.28,19.79
CA-097,Sonoma County,California,14.86,3,-27.16,42.02
CA-099,Stanislaus County,California,6.78,5,-6.87,13.65
CA-101,Sutter County,California,6.57,2,-12.41,18.98
CA-103,Tehama County,California,16.5,3,-20.01,36.51
CA-105,Trinity County,California,28.14,3,-29.35,57.49
CA-107,Tulare County,California,11.61,8,-10.23,21.84
CA-109,Tuolumne County,California,21.07,3,-19.77,40.84
CA-111,Ventura County,California,12.1,27,-8.31,20.41
CA-113,Yolo County,California,6.36,3,-13.65,20.01
CA-115,Yuba County,California,18.02,3,-19.71,37.73
