# Title: January - December 2023 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,24.39,108,5.64,18.75
CA-003,Alpine County,California,46.86,108,10.72,36.14
CA-005,Amador County,California,41.47,95,6.24,35.23
CA-007,Butte County,California,46.4,74,1.99,44.41
CA-009,Calaveras County,California,40.81,96,6.54,34.27
CA-011,Colusa County,California,28.54,105,6.54,22
CA-013,Contra Costa County,California,23.62,105,5.13,18.49
CA-015,Del Norte County,California,73.63,55,-6.36,79.99
CA-017,El Dorado County,California,51.73,93,7.09,44.64
CA-019,Fresno County,California,28.95,119,9.35,19.6
CA-021,Glenn County,California,33.91,108,8.03,25.88
CA-023,Humboldt County,California,65.66,75,2.27,63.39
CA-025,Imperial County,California,3.5,81,0.12,3.38
CA-027,Inyo County,California,9.38,117,3.14,6.24
CA-029,Kern County,California,13.12,116,4.07,9.05
CA-031,Kings County,California,12.37,123,4.76,7.61
CA-033,Lake County,California,55.57,106,12.11,43.46
CA-035,Lassen County,California,22.1,84,1.7,20.4
CA-037,Los Angeles County,California,25.09,114,9.53,15.56
CA-039,Madera County,California,28.39,104,5.27,23.12
CA-041,Marin County,California,43.08,97,7.6,35.48
CA-043,Mariposa County,California,42.56,108,9.75,32.81
CA-045,Mendocino County,California,58.44,88,6.83,51.61
CA-047,Merced County,California,16.61,118,5.34,11.27
CA-049,Modoc County,California,18.77,78,0.7,18.07
CA-051,Mono County,California,25.02,124,9.39,15.63
CA-053,Monterey County,California,29.09,115,8.99,20.1
CA-055,Napa County,California,39.4,104,8.3,31.1
CA-057,Nevada County,California,54.53,83,4.16,50.37
CA-059,Orange County,California,20.51,113,6.96,13.55
CA-061,Placer County,California,52.73,94,6.96,45.77
CA-063,Plumas County,California,47.95,98,6.74,41.21
CA-065,Riverside County,California,9.97,96,1.48,8.49
CA-067,Sacramento County,California,21.8,94,3.11,18.69
CA-069,San Benito County,California,23.61,114,6.87,16.74
CA-071,San Bernardino County,California,7.55,88,0.69,6.86
CA-073,San Diego County,California,21.02,115,6.73,14.29
CA-075,San Francisco County,California,30.89,103,6.59,24.3
CA-077,San Joaquin County,California,18.57,114,4.52,14.05
CA-079,San Luis Obispo County,California,29.07,124,11.91,17.16
CA-081,San Mateo County,California,35.25,105,6.59,28.66
CA-083,Santa Barbara County,California,32.74,124,13.9,18.84
CA-085,Santa Clara County,California,31.82,116,8.71,23.11
CA-087,Santa Cruz County,California,43.68,112,10.63,33.05
CA-089,Shasta County,California,45.9,88,3.96,41.94
CA-091,Sierra County,California,51.21,90,5.46,45.75
CA-093,Siskiyou County,California,34.7,48,-4.11,38.81
CA-095,Solano County,California,26.31,111,6.52,19.79
CA-097,Sonoma County,California,53,109,10.98,42.02
CA-099,Stanislaus County,California,18.81,115,5.16,13.65
CA-101,Sutter County,California,23.12,100,4.14,18.98
CA-103,Tehama County,California,42.41,97,5.9,36.51
CA-105,Trinity County,California,62.65,85,5.16,57.49
CA-107,Tulare County,California,34.76,122,12.92,21.84
CA-109,Tuolumne County,California,53.59,111,12.75,40.84
CA-111,Ventura County,California,37.29,125,16.88,20.41
CA-113,Yolo County,California,26.55,108,6.54,20.01
CA-115,Yuba County,California,37.98,69,0.25,37.73
