# Title: January - December 2018 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.8,118,1.9,57.9
CA-003,Alpine County,California,45.7,124,2.4,43.3
CA-005,Amador County,California,59.7,125,2.5,57.2
CA-007,Butte County,California,61,122,2.2,58.8
CA-009,Calaveras County,California,60,125,2.4,57.6
CA-011,Colusa County,California,62.5,123,2.1,60.4
CA-013,Contra Costa County,California,61,120,2.2,58.8
CA-015,Del Norte County,California,52.9,118,2.1,50.8
CA-017,El Dorado County,California,55.4,124,2.1,53.4
CA-019,Fresno County,California,57.4,125,3,54.4
CA-021,Glenn County,California,61,120,1.7,59.3
CA-023,Humboldt County,California,54.8,119,1.8,53
CA-025,Imperial County,California,75.3,122,3.1,72.2
CA-027,Inyo County,California,62.7,127,3.2,59.6
CA-029,Kern County,California,63.6,125,3.1,60.5
CA-031,Kings County,California,65.2,123,2.7,62.5
CA-033,Lake County,California,58.5,125,2.2,56.3
CA-035,Lassen County,California,48,115,1.9,46.1
CA-037,Los Angeles County,California,63.5,125,3.6,59.9
CA-039,Madera County,California,57.7,122,2.6,55.1
CA-041,Marin County,California,56.7,119,1.8,54.8
CA-043,Mariposa County,California,56.9,123,2.4,54.5
CA-045,Mendocino County,California,56.2,116,1.4,54.8
CA-047,Merced County,California,63.4,125,2.3,61
CA-049,Modoc County,California,48,117,2.5,45.6
CA-051,Mono County,California,46.1,124,2.9,43.3
CA-053,Monterey County,California,59.9,124,2.7,57.2
CA-055,Napa County,California,60.4,122,2.3,58.2
CA-057,Nevada County,California,53.8,124,2.1,51.7
CA-059,Orange County,California,65.8,124,3.5,62.4
CA-061,Placer County,California,55,123,2,53
CA-063,Plumas County,California,48.6,119,1.8,46.8
CA-065,Riverside County,California,70.2,127,3.4,66.8
CA-067,Sacramento County,California,62.9,120,1.8,61.1
CA-069,San Benito County,California,60.3,124,2.9,57.4
CA-071,San Bernardino County,California,68.4,126,3.4,65.1
CA-073,San Diego County,California,64.8,127,3.5,61.2
CA-075,San Francisco County,California,57.6,115,1.9,55.8
CA-077,San Joaquin County,California,63.3,123,2.6,60.7
CA-079,San Luis Obispo County,California,61.1,127,3.1,58
CA-081,San Mateo County,California,57.6,121,2.2,55.4
CA-083,Santa Barbara County,California,60.2,126,3.6,56.6
CA-085,Santa Clara County,California,59.5,124,2.6,56.9
CA-087,Santa Cruz County,California,58.4,123,2.7,55.7
CA-089,Shasta County,California,56.6,123,2.3,54.3
CA-091,Sierra County,California,48.7,124,2.3,46.4
CA-093,Siskiyou County,California,50.3,122,2.5,47.8
CA-095,Solano County,California,61.6,116,1.9,59.7
CA-097,Sonoma County,California,58.1,123,2,56.1
CA-099,Stanislaus County,California,62.9,123,2.5,60.4
CA-101,Sutter County,California,63.7,120,1.8,61.8
CA-103,Tehama County,California,60.1,122,2.1,57.9
CA-105,Trinity County,California,53.8,122,2.3,51.6
CA-107,Tulare County,California,55.9,123,2.7,53.2
CA-109,Tuolumne County,California,51.9,124,2.3,49.6
CA-111,Ventura County,California,59.5,125,3.5,56
CA-113,Yolo County,California,62.4,114,1.5,60.9
CA-115,Yuba County,California,62,123,2.2,59.8
