# Title: January - December 2001 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.6,112,1.7,57.9
CA-003,Alpine County,California,45.1,119,1.8,43.3
CA-005,Amador County,California,58.5,114,1.3,57.2
CA-007,Butte County,California,60.4,117,1.6,58.8
CA-009,Calaveras County,California,58.9,113,1.3,57.6
CA-011,Colusa County,California,62,116,1.6,60.4
CA-013,Contra Costa County,California,60.5,113,1.7,58.8
CA-015,Del Norte County,California,52.3,106,1.4,50.8
CA-017,El Dorado County,California,54.9,117,1.5,53.4
CA-019,Fresno County,California,56.4,116,2,54.4
CA-021,Glenn County,California,60.7,113,1.4,59.3
CA-023,Humboldt County,California,54.2,107,1.3,53
CA-025,Imperial County,California,74.4,116,2.2,72.2
CA-027,Inyo County,California,61.5,113,1.9,59.6
CA-029,Kern County,California,62.8,117,2.3,60.5
CA-031,Kings County,California,64.7,120,2.2,62.5
CA-033,Lake County,California,57.7,113,1.4,56.3
CA-035,Lassen County,California,47.8,111,1.7,46.1
CA-037,Los Angeles County,California,61.5,102,1.6,59.9
CA-039,Madera County,California,57,117,1.8,55.1
CA-041,Marin County,California,56.2,108,1.4,54.8
CA-043,Mariposa County,California,56.1,115,1.6,54.5
CA-045,Mendocino County,California,55.7,104,0.8,54.8
CA-047,Merced County,California,63.1,118,2.1,61
CA-049,Modoc County,California,47.4,110,1.8,45.6
CA-051,Mono County,California,44.9,111,1.7,43.3
CA-053,Monterey County,California,58.8,111,1.6,57.2
CA-055,Napa County,California,60.1,118,1.9,58.2
CA-057,Nevada County,California,53.2,114,1.4,51.7
CA-059,Orange County,California,63.2,87,0.8,62.4
CA-061,Placer County,California,54.7,119,1.6,53
CA-063,Plumas County,California,48.5,117,1.7,46.8
CA-065,Riverside County,California,68.6,109,1.8,66.8
CA-067,Sacramento County,California,62.7,117,1.6,61.1
CA-069,San Benito County,California,59.3,114,1.8,57.4
CA-071,San Bernardino County,California,67.2,115,2.1,65.1
CA-073,San Diego County,California,62.6,101,1.4,61.2
CA-075,San Francisco County,California,56.9,102,1.1,55.8
CA-077,San Joaquin County,California,62.5,114,1.7,60.7
CA-079,San Luis Obispo County,California,59.4,105,1.4,58
CA-081,San Mateo County,California,56.8,106,1.4,55.4
CA-083,Santa Barbara County,California,58.1,98,1.4,56.6
CA-085,Santa Clara County,California,58.6,112,1.7,56.9
CA-087,Santa Cruz County,California,57,104,1.3,55.7
CA-089,Shasta County,California,55.7,106,1.4,54.3
CA-091,Sierra County,California,48.2,117,1.8,46.4
CA-093,Siskiyou County,California,49.6,111,1.7,47.8
CA-095,Solano County,California,61.7,118,1.9,59.7
CA-097,Sonoma County,California,57.6,113,1.5,56.1
CA-099,Stanislaus County,California,62.1,116,1.7,60.4
CA-101,Sutter County,California,63.6,120,1.8,61.8
CA-103,Tehama County,California,59.2,110,1.2,57.9
CA-105,Trinity County,California,52.8,105,1.2,51.6
CA-107,Tulare County,California,55.3,116,2.1,53.2
CA-109,Tuolumne County,California,51,114,1.4,49.6
CA-111,Ventura County,California,57.7,99,1.6,56
CA-113,Yolo County,California,62.8,119,1.9,60.9
CA-115,Yuba County,California,61.5,117,1.6,59.8
