# Title: January - December 2022 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,60.4,125,2.5,57.9
CA-003,Alpine County,California,45.6,123,2.3,43.3
CA-005,Amador County,California,59.4,122,2.1,57.2
CA-007,Butte County,California,62,127,3.2,58.8
CA-009,Calaveras County,California,59.9,123,2.2,57.6
CA-011,Colusa County,California,62.7,124,2.3,60.4
CA-013,Contra Costa County,California,61.5,126,2.7,58.8
CA-015,Del Norte County,California,53.5,126,2.6,50.8
CA-017,El Dorado County,California,55.4,124,2.1,53.4
CA-019,Fresno County,California,57.3,124,2.9,54.4
CA-021,Glenn County,California,62,125,2.7,59.3
CA-023,Humboldt County,California,54.1,105,1.2,53
CA-025,Imperial County,California,75.7,126,3.5,72.2
CA-027,Inyo County,California,62.3,122,2.7,59.6
CA-029,Kern County,California,63.4,123,2.9,60.5
CA-031,Kings County,California,65.1,122,2.6,62.5
CA-033,Lake County,California,58.3,122,2,56.3
CA-035,Lassen County,California,47.6,105,1.4,46.1
CA-037,Los Angeles County,California,63.8,127,4,59.9
CA-039,Madera County,California,57.9,125,2.7,55.1
CA-041,Marin County,California,56.6,116,1.8,54.8
CA-043,Mariposa County,California,56.6,121,2.1,54.5
CA-045,Mendocino County,California,56.4,119,1.5,54.8
CA-047,Merced County,California,63.4,125,2.4,61
CA-049,Modoc County,California,48.4,124,2.8,45.6
CA-051,Mono County,California,45.6,120,2.4,43.3
CA-053,Monterey County,California,59.7,122,2.5,57.2
CA-055,Napa County,California,60.6,123,2.4,58.2
CA-057,Nevada County,California,53.8,124,2,51.7
CA-059,Orange County,California,66.1,127,3.8,62.4
CA-061,Placer County,California,55.1,124,2,53
CA-063,Plumas County,California,48.3,110,1.5,46.8
CA-065,Riverside County,California,70.4,128,3.6,66.8
CA-067,Sacramento County,California,63.6,125,2.5,61.1
CA-069,San Benito County,California,60,121,2.6,57.4
CA-071,San Bernardino County,California,68,122,3,65.1
CA-073,San Diego County,California,64.3,124,3.1,61.2
CA-075,San Francisco County,California,57.3,112,1.5,55.8
CA-077,San Joaquin County,California,63.6,124,2.9,60.7
CA-079,San Luis Obispo County,California,60.8,122,2.8,58
CA-081,San Mateo County,California,57,111,1.6,55.4
CA-083,Santa Barbara County,California,59.7,123,3.1,56.6
CA-085,Santa Clara County,California,59.4,121,2.5,56.9
CA-087,Santa Cruz County,California,57.7,116,2,55.7
CA-089,Shasta County,California,56.9,125,2.6,54.3
CA-091,Sierra County,California,48.4,121,2,46.4
CA-093,Siskiyou County,California,50.6,124,2.7,47.8
CA-095,Solano County,California,62.2,126,2.4,59.7
CA-097,Sonoma County,California,57.8,116,1.7,56.1
CA-099,Stanislaus County,California,62.7,122,2.3,60.4
CA-101,Sutter County,California,64.2,123,2.4,61.8
CA-103,Tehama County,California,60.7,127,2.8,57.9
CA-105,Trinity County,California,54.2,125,2.6,51.6
CA-107,Tulare County,California,56,125,2.7,53.2
CA-109,Tuolumne County,California,51.4,119,1.8,49.6
CA-111,Ventura County,California,59.8,127,3.8,56
CA-113,Yolo County,California,63,122,2.1,60.9
CA-115,Yuba County,California,62.5,125,2.6,59.8
