# Title: January - December 2018 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,16.57,52,-2.18,18.75
CA-003,Alpine County,California,32.2,52,-3.94,36.14
CA-005,Amador County,California,34.04,64,-1.19,35.23
CA-007,Butte County,California,34.51,33,-9.9,44.41
CA-009,Calaveras County,California,32.63,63,-1.64,34.27
CA-011,Colusa County,California,18.08,38,-3.92,22
CA-013,Contra Costa County,California,17.52,64,-0.97,18.49
CA-015,Del Norte County,California,54.46,11,-25.53,79.99
CA-017,El Dorado County,California,40.29,57,-4.35,44.64
CA-019,Fresno County,California,16.87,53,-2.73,19.6
CA-021,Glenn County,California,18.95,28,-6.93,25.88
CA-023,Humboldt County,California,48.62,23,-14.77,63.39
CA-025,Imperial County,California,2.07,31,-1.31,3.38
CA-027,Inyo County,California,4.52,39,-1.72,6.24
CA-029,Kern County,California,7.03,42,-2.02,9.05
CA-031,Kings County,California,5.61,40,-2,7.61
CA-033,Lake County,California,34.37,34,-9.09,43.46
CA-035,Lassen County,California,18.88,55,-1.52,20.4
CA-037,Los Angeles County,California,10.79,41,-4.77,15.56
CA-039,Madera County,California,20.72,59,-2.4,23.12
CA-041,Marin County,California,30.49,47,-4.99,35.48
CA-043,Mariposa County,California,30.17,62,-2.64,32.81
CA-045,Mendocino County,California,41.72,33,-9.89,51.61
CA-047,Merced County,California,10.5,63,-0.77,11.27
CA-049,Modoc County,California,17.29,59,-0.78,18.07
CA-051,Mono County,California,14.08,54,-1.55,15.63
CA-053,Monterey County,California,19.21,60,-0.89,20.1
CA-055,Napa County,California,24.56,35,-6.54,31.1
CA-057,Nevada County,California,45.36,55,-5.01,50.37
CA-059,Orange County,California,8.79,32,-4.76,13.55
CA-061,Placer County,California,42.42,61,-3.35,45.77
CA-063,Plumas County,California,35.36,45,-5.85,41.21
CA-065,Riverside County,California,5.82,36,-2.67,8.49
CA-067,Sacramento County,California,18.95,72,0.26,18.69
CA-069,San Benito County,California,15.78,62,-0.96,16.74
CA-071,San Bernardino County,California,5.11,43,-1.75,6.86
CA-073,San Diego County,California,9.69,30,-4.6,14.29
CA-075,San Francisco County,California,22.51,56,-1.79,24.3
CA-077,San Joaquin County,California,14.35,73,0.3,14.05
CA-079,San Luis Obispo County,California,14.4,53,-2.76,17.16
CA-081,San Mateo County,California,22.73,38,-5.93,28.66
CA-083,Santa Barbara County,California,12.72,31,-6.12,18.84
CA-085,Santa Clara County,California,21.1,56,-2.01,23.11
CA-087,Santa Cruz County,California,27.33,43,-5.72,33.05
CA-089,Shasta County,California,34.13,33,-7.81,41.94
CA-091,Sierra County,California,39.27,49,-6.48,45.75
CA-093,Siskiyou County,California,26.23,13,-12.58,38.81
CA-095,Solano County,California,17.34,50,-2.45,19.79
CA-097,Sonoma County,California,36.02,44,-6,42.02
CA-099,Stanislaus County,California,13.57,68,-0.08,13.65
CA-101,Sutter County,California,17.61,56,-1.37,18.98
CA-103,Tehama County,California,30.58,44,-5.93,36.51
CA-105,Trinity County,California,39.76,19,-17.73,57.49
CA-107,Tulare County,California,16.35,35,-5.49,21.84
CA-109,Tuolumne County,California,37.4,57,-3.44,40.84
CA-111,Ventura County,California,14.24,38,-6.17,20.41
CA-113,Yolo County,California,17.84,53,-2.17,20.01
CA-115,Yuba County,California,33.66,56,-4.07,37.73
