# Title: January - December 2019 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.7,117,1.8,57.9
CA-003,Alpine County,California,43.5,73,0.2,43.3
CA-005,Amador County,California,57.8,88,0.6,57.2
CA-007,Butte County,California,60.2,109,1.4,58.8
CA-009,Calaveras County,California,58.3,89,0.6,57.6
CA-011,Colusa County,California,61.6,105,1.2,60.4
CA-013,Contra Costa County,California,60.6,115,1.8,58.8
CA-015,Del Norte County,California,52.1,102,1.3,50.8
CA-017,El Dorado County,California,53.6,75,0.2,53.4
CA-019,Fresno County,California,55.8,103,1.4,54.4
CA-021,Glenn County,California,60.4,103,1.1,59.3
CA-023,Humboldt County,California,54.5,114,1.5,53
CA-025,Imperial County,California,72.9,76,0.7,72.2
CA-027,Inyo County,California,60,77,0.5,59.6
CA-029,Kern County,California,61.7,96,1.1,60.5
CA-031,Kings County,California,64.3,112,1.8,62.5
CA-033,Lake County,California,57.4,105,1,56.3
CA-035,Lassen County,California,46.6,77,0.5,46.1
CA-037,Los Angeles County,California,61.1,91,1.2,59.9
CA-039,Madera County,California,56.3,97,1.1,55.1
CA-041,Marin County,California,56.9,123,2.1,54.8
CA-043,Mariposa County,California,55,84,0.5,54.5
CA-045,Mendocino County,California,56.1,115,1.3,54.8
CA-047,Merced County,California,62.9,113,1.9,61
CA-049,Modoc County,California,46.7,93,1.2,45.6
CA-051,Mono County,California,43.6,75,0.3,43.3
CA-053,Monterey County,California,59.1,116,1.9,57.2
CA-055,Napa County,California,60,115,1.8,58.2
CA-057,Nevada County,California,51.9,69,0.2,51.7
CA-059,Orange County,California,63.9,101,1.5,62.4
CA-061,Placer County,California,53.4,78,0.4,53
CA-063,Plumas County,California,47.1,78,0.3,46.8
CA-065,Riverside County,California,67.6,88,0.9,66.8
CA-067,Sacramento County,California,62.9,120,1.8,61.1
CA-069,San Benito County,California,59.1,111,1.7,57.4
CA-071,San Bernardino County,California,65.5,74,0.5,65.1
CA-073,San Diego County,California,62.4,97,1.2,61.2
CA-075,San Francisco County,California,58,121,2.3,55.8
CA-077,San Joaquin County,California,63.1,121,2.3,60.7
CA-079,San Luis Obispo County,California,59.7,111,1.8,58
CA-081,San Mateo County,California,58,124,2.6,55.4
CA-083,Santa Barbara County,California,58.6,110,1.9,56.6
CA-085,Santa Clara County,California,58.9,115,2,56.9
CA-087,Santa Cruz County,California,58.6,124,2.9,55.7
CA-089,Shasta County,California,55.3,101,0.9,54.3
CA-091,Sierra County,California,46.8,78,0.4,46.4
CA-093,Siskiyou County,California,49,99,1.1,47.8
CA-095,Solano County,California,61.7,118,1.9,59.7
CA-097,Sonoma County,California,57.9,119,1.8,56.1
CA-099,Stanislaus County,California,62.3,119,2,60.4
CA-101,Sutter County,California,63.4,112,1.6,61.8
CA-103,Tehama County,California,58.8,100,0.9,57.9
CA-105,Trinity County,California,52.9,106,1.3,51.6
CA-107,Tulare County,California,54,89,0.8,53.2
CA-109,Tuolumne County,California,49.9,77,0.2,49.6
CA-111,Ventura County,California,57.7,101,1.7,56
CA-113,Yolo County,California,62.4,114,1.5,60.9
CA-115,Yuba County,California,60.9,103,1.1,59.8
