# Title: January - December 2009 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,17.32,60,-1.43,18.75
CA-003,Alpine County,California,33.89,62,-2.25,36.14
CA-005,Amador County,California,30.6,48,-4.63,35.23
CA-007,Butte County,California,35.69,38,-8.72,44.41
CA-009,Calaveras County,California,29.62,50,-4.65,34.27
CA-011,Colusa County,California,18.52,40,-3.48,22
CA-013,Contra Costa County,California,17.83,67,-0.66,18.49
CA-015,Del Norte County,California,55.37,12,-24.62,79.99
CA-017,El Dorado County,California,38.51,48,-6.13,44.64
CA-019,Fresno County,California,16.71,50,-2.89,19.6
CA-021,Glenn County,California,21.43,41,-4.45,25.88
CA-023,Humboldt County,California,43.66,14,-19.73,63.39
CA-025,Imperial County,California,1.25,11,-2.13,3.38
CA-027,Inyo County,California,4.28,33,-1.96,6.24
CA-029,Kern County,California,5.92,22,-3.13,9.05
CA-031,Kings County,California,5.56,38,-2.05,7.61
CA-033,Lake County,California,32.38,28,-11.08,43.46
CA-035,Lassen County,California,16.26,35,-4.14,20.4
CA-037,Los Angeles County,California,10.11,34,-5.45,15.56
CA-039,Madera County,California,19.62,47,-3.5,23.12
CA-041,Marin County,California,28.68,37,-6.8,35.48
CA-043,Mariposa County,California,27.12,47,-5.69,32.81
CA-045,Mendocino County,California,35.07,19,-16.54,51.61
CA-047,Merced County,California,9.87,50,-1.4,11.27
CA-049,Modoc County,California,14.03,23,-4.04,18.07
CA-051,Mono County,California,14.09,56,-1.54,15.63
CA-053,Monterey County,California,18.42,56,-1.68,20.1
CA-055,Napa County,California,25.6,42,-5.5,31.1
CA-057,Nevada County,California,41.91,39,-8.46,50.37
CA-059,Orange County,California,8.04,24,-5.51,13.55
CA-061,Placer County,California,39.04,43,-6.73,45.77
CA-063,Plumas County,California,34.52,43,-6.69,41.21
CA-065,Riverside County,California,4.46,13,-4.03,8.49
CA-067,Sacramento County,California,17.4,58,-1.29,18.69
CA-069,San Benito County,California,14.77,49,-1.97,16.74
CA-071,San Bernardino County,California,3.18,6,-3.68,6.86
CA-073,San Diego County,California,8.25,14,-6.04,14.29
CA-075,San Francisco County,California,22.53,57,-1.77,24.3
CA-077,San Joaquin County,California,11.7,44,-2.35,14.05
CA-079,San Luis Obispo County,California,13.51,45,-3.65,17.16
CA-081,San Mateo County,California,24.42,44,-4.24,28.66
CA-083,Santa Barbara County,California,13.14,37,-5.7,18.84
CA-085,Santa Clara County,California,21.46,58,-1.65,23.11
CA-087,Santa Cruz County,California,28.33,49,-4.72,33.05
CA-089,Shasta County,California,35.51,40,-6.43,41.94
CA-091,Sierra County,California,38.36,42,-7.39,45.75
CA-093,Siskiyou County,California,26.98,15,-11.83,38.81
CA-095,Solano County,California,18.16,60,-1.63,19.79
CA-097,Sonoma County,California,29.53,24,-12.49,42.02
CA-099,Stanislaus County,California,11.6,45,-2.05,13.65
CA-101,Sutter County,California,14.9,33,-4.08,18.98
CA-103,Tehama County,California,30.12,41,-6.39,36.51
CA-105,Trinity County,California,42.08,25,-15.41,57.49
CA-107,Tulare County,California,17.5,41,-4.34,21.84
CA-109,Tuolumne County,California,38.14,61,-2.7,40.84
CA-111,Ventura County,California,13.3,34,-7.11,20.41
CA-113,Yolo County,California,18.45,58,-1.56,20.01
CA-115,Yuba County,California,30.65,40,-7.08,37.73
