# Title: January - December 2005 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.4,107,1.5,57.9
CA-003,Alpine County,California,43.9,87,0.6,43.3
CA-005,Amador County,California,58,93,0.7,57.2
CA-007,Butte County,California,59.5,90,0.8,58.8
CA-009,Calaveras County,California,58.2,89,0.6,57.6
CA-011,Colusa County,California,61,90,0.7,60.4
CA-013,Contra Costa County,California,60.1,102,1.3,58.8
CA-015,Del Norte County,California,52.6,112,1.7,50.8
CA-017,El Dorado County,California,53.9,86,0.5,53.4
CA-019,Fresno County,California,55.7,98,1.3,54.4
CA-021,Glenn County,California,59.9,90,0.6,59.3
CA-023,Humboldt County,California,54.3,110,1.4,53
CA-025,Imperial County,California,74,105,1.8,72.2
CA-027,Inyo County,California,60.9,98,1.4,59.6
CA-029,Kern County,California,61.9,100,1.4,60.5
CA-031,Kings County,California,63.9,101,1.4,62.5
CA-033,Lake County,California,56.8,89,0.4,56.3
CA-035,Lassen County,California,46.9,88,0.7,46.1
CA-037,Los Angeles County,California,61.4,98,1.6,59.9
CA-039,Madera County,California,56.3,97,1.1,55.1
CA-041,Marin County,California,56,103,1.1,54.8
CA-043,Mariposa County,California,55.4,97,0.8,54.5
CA-045,Mendocino County,California,55.3,95,0.4,54.8
CA-047,Merced County,California,62.7,111,1.7,61
CA-049,Modoc County,California,46.9,99,1.3,45.6
CA-051,Mono County,California,44.2,96,0.9,43.3
CA-053,Monterey County,California,59,113,1.8,57.2
CA-055,Napa County,California,59.4,104,1.2,58.2
CA-057,Nevada County,California,52.2,85,0.5,51.7
CA-059,Orange County,California,64.2,108,1.8,62.4
CA-061,Placer County,California,53.6,93,0.6,53
CA-063,Plumas County,California,47.6,94,0.8,46.8
CA-065,Riverside County,California,68.2,103,1.4,66.8
CA-067,Sacramento County,California,62.2,103,1.1,61.1
CA-069,San Benito County,California,59.2,114,1.8,57.4
CA-071,San Bernardino County,California,66.3,99,1.2,65.1
CA-073,San Diego County,California,62.9,105,1.6,61.2
CA-075,San Francisco County,California,57.3,112,1.5,55.8
CA-077,San Joaquin County,California,62.1,107,1.4,60.7
CA-079,San Luis Obispo County,California,59.6,110,1.7,58
CA-081,San Mateo County,California,57.1,112,1.7,55.4
CA-083,Santa Barbara County,California,58.6,110,2,56.6
CA-085,Santa Clara County,California,58.7,114,1.8,56.9
CA-087,Santa Cruz County,California,57.2,108,1.6,55.7
CA-089,Shasta County,California,55.1,95,0.8,54.3
CA-091,Sierra County,California,47.3,91,0.8,46.4
CA-093,Siskiyou County,California,49,99,1.2,47.8
CA-095,Solano County,California,61,103,1.3,59.7
CA-097,Sonoma County,California,57,101,0.9,56.1
CA-099,Stanislaus County,California,61.9,111,1.5,60.4
CA-101,Sutter County,California,62.9,94,1,61.8
CA-103,Tehama County,California,58.4,89,0.5,57.9
CA-105,Trinity County,California,52.4,96,0.8,51.6
CA-107,Tulare County,California,54.6,99,1.4,53.2
CA-109,Tuolumne County,California,50,83,0.4,49.6
CA-111,Ventura County,California,58.2,111,2.2,56
CA-113,Yolo County,California,62.1,105,1.2,60.9
CA-115,Yuba County,California,60.5,88,0.7,59.8
