# Title: January - December 2008 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,14.18,31,-4.57,18.75
CA-003,Alpine County,California,30.57,44,-5.57,36.14
CA-005,Amador County,California,25.03,25,-10.2,35.23
CA-007,Butte County,California,29.78,19,-14.63,44.41
CA-009,Calaveras County,California,25.32,30,-8.95,34.27
CA-011,Colusa County,California,20.53,53,-1.47,22
CA-013,Contra Costa County,California,14.29,35,-4.2,18.49
CA-015,Del Norte County,California,67.38,38,-12.61,79.99
CA-017,El Dorado County,California,32.98,28,-11.66,44.64
CA-019,Fresno County,California,16.06,44,-3.54,19.6
CA-021,Glenn County,California,21.97,45,-3.91,25.88
CA-023,Humboldt County,California,51.18,34,-12.21,63.39
CA-025,Imperial County,California,3.36,77,-0.02,3.38
CA-027,Inyo County,California,5.38,58,-0.86,6.24
CA-029,Kern County,California,7.18,44,-1.87,9.05
CA-031,Kings County,California,5.17,31,-2.44,7.61
CA-033,Lake County,California,35.06,36,-8.4,43.46
CA-035,Lassen County,California,13.51,14,-6.89,20.4
CA-037,Los Angeles County,California,15.12,72,-0.44,15.56
CA-039,Madera County,California,18.57,40,-4.55,23.12
CA-041,Marin County,California,27.04,30,-8.44,35.48
CA-043,Mariposa County,California,26.75,44,-6.06,32.81
CA-045,Mendocino County,California,37.3,26,-14.31,51.61
CA-047,Merced County,California,8.67,35,-2.6,11.27
CA-049,Modoc County,California,14.37,27,-3.7,18.07
CA-051,Mono County,California,14.2,59,-1.43,15.63
CA-053,Monterey County,California,17.77,53,-2.33,20.1
CA-055,Napa County,California,25.13,38,-5.97,31.1
CA-057,Nevada County,California,34.08,19,-16.29,50.37
CA-059,Orange County,California,11.45,60,-2.1,13.55
CA-061,Placer County,California,33.7,27,-12.07,45.77
CA-063,Plumas County,California,30.07,26,-11.14,41.21
CA-065,Riverside County,California,8.54,81,0.05,8.49
CA-067,Sacramento County,California,14.74,37,-3.95,18.69
CA-069,San Benito County,California,14.17,46,-2.57,16.74
CA-071,San Bernardino County,California,6.54,75,-0.32,6.86
CA-073,San Diego County,California,15.01,87,0.72,14.29
CA-075,San Francisco County,California,19.61,36,-4.69,24.3
CA-077,San Joaquin County,California,10.05,26,-4,14.05
CA-079,San Luis Obispo County,California,14.31,52,-2.85,17.16
CA-081,San Mateo County,California,22.4,36,-6.26,28.66
CA-083,Santa Barbara County,California,20.42,86,1.58,18.84
CA-085,Santa Clara County,California,18.49,37,-4.62,23.11
CA-087,Santa Cruz County,California,27.31,42,-5.74,33.05
CA-089,Shasta County,California,29.17,19,-12.77,41.94
CA-091,Sierra County,California,32.79,24,-12.96,45.75
CA-093,Siskiyou County,California,28.57,21,-10.24,38.81
CA-095,Solano County,California,16.13,38,-3.66,19.79
CA-097,Sonoma County,California,30.88,29,-11.14,42.02
CA-099,Stanislaus County,California,10.64,37,-3.01,13.65
CA-101,Sutter County,California,15.21,37,-3.77,18.98
CA-103,Tehama County,California,25.65,20,-10.86,36.51
CA-105,Trinity County,California,42.57,26,-14.92,57.49
CA-107,Tulare County,California,17.81,43,-4.03,21.84
CA-109,Tuolumne County,California,34.68,46,-6.16,40.84
CA-111,Ventura County,California,17.95,65,-2.46,20.41
CA-113,Yolo County,California,17.31,45,-2.7,20.01
CA-115,Yuba County,California,26.13,21,-11.6,37.73
