"county","population","tmean_avg","ppt_avg","year","cases"
"FRESNO",820896,17.663247458744,23.5442941170932,"2001",60
"FRESNO",829545,17.663247458744,23.5442941170932,"2002",72
"FRESNO",845238,17.663247458744,23.5442941170932,"2003",144
"FRESNO",860927,17.663247458744,23.5442941170932,"2004",132
"FRESNO",871053,17.663247458744,23.5442941170932,"2005",336
"FRESNO",886667,17.663247458744,23.5442941170932,"2006",660
"FRESNO",898876,17.663247458744,23.5442941170932,"2007",396
"FRESNO",912429,17.663247458744,23.5442941170932,"2008",324
"FRESNO",924386,17.663247458744,23.5442941170932,"2009",492
"FRESNO",930591,17.663247458744,23.5442941170932,"2010",720
"FRESNO",942308,17.663247458744,23.5442941170932,"2011",732
"FRESNO",948919,17.663247458744,23.5442941170932,"2012",480
"FRESNO",954407,17.663247458744,23.5442941170932,"2013",312
"FRESNO",964706,17.663247458744,23.5442941170932,"2014",168
"FRESNO",972222,17.663247458744,23.5442941170932,"2015",276
"FRESNO",977707,17.663247458744,23.5442941170932,"2016",612
"FRESNO",985816,17.663247458744,23.5442941170932,"2017",840
"FRESNO",993837,17.663247458744,23.5442941170932,"2018",648
"FRESNO",1001603,17.663247458744,23.5442941170932,"2019",624
"FRESNO",1006726,17.663247458744,23.5442941170932,"2020",444
"FRESNO",1009852,17.663247458744,23.5442941170932,"2021",408
"FRESNO",1011287,17.663247458744,23.5442941170932,"2022",444
"FRESNO",1016129,17.663247458744,23.5442941170932,"2023",564
"KERN",679570,17.9374960058059,14.3731062242562,"2001",948
"KERN",696566,17.9374960058059,14.3731062242562,"2002",996
"KERN",717695,17.9374960058059,14.3731062242562,"2003",1236
"KERN",740030,17.9374960058059,14.3731062242562,"2004",1464
"KERN",762025,17.9374960058059,14.3731062242562,"2005",1500
"KERN",786100,17.9374960058059,14.3731062242562,"2006",1020
"KERN",805668,17.9374960058059,14.3731062242562,"2007",1392
"KERN",820236,17.9374960058059,14.3731062242562,"2008",840
"KERN",831476,17.9374960058059,14.3731062242562,"2009",600
"KERN",839772,17.9374960058059,14.3731062242562,"2010",1908
"KERN",850182,17.9374960058059,14.3731062242562,"2011",2568
"KERN",858333,17.9374960058059,14.3731062242562,"2012",1848
"KERN",867224,17.9374960058059,14.3731062242562,"2013",1656
"KERN",872540,17.9374960058059,14.3731062242562,"2014",936
"KERN",878345,17.9374960058059,14.3731062242562,"2015",1080
"KERN",880655,17.9374960058059,14.3731062242562,"2016",2256
"KERN",888112,17.9374960058059,14.3731062242562,"2017",2796
"KERN",895599,17.9374960058059,14.3731062242562,"2018",2952
"KERN",903148,17.9374960058059,14.3731062242562,"2019",3384
"KERN",905252,17.9374960058059,14.3731062242562,"2020",2640
"KERN",908213,17.9374960058059,14.3731062242562,"2021",2820
"KERN",908406,17.9374960058059,14.3731062242562,"2022",2412
"KERN",910245,17.9374960058059,14.3731062242562,"2023",3012
"KINGS",132616,17.6097433320157,16.0794740265573,"2001",36
"KINGS",134503,17.6097433320157,16.0794740265573,"2002",48
"KINGS",138587,17.6097433320157,16.0794740265573,"2003",48
"KINGS",142578,17.6097433320157,16.0794740265573,"2004",72
"KINGS",144633,17.6097433320157,16.0794740265573,"2005",132
"KINGS",147468,17.6097433320157,16.0794740265573,"2006",228
"KINGS",150327,17.6097433320157,16.0794740265573,"2007",144
"KINGS",151888,17.6097433320157,16.0794740265573,"2008",180
"KINGS",151786,17.6097433320157,16.0794740265573,"2009",204
"KINGS",152992,17.6097433320157,16.0794740265573,"2010",384
"KINGS",151515,17.6097433320157,16.0794740265573,"2011",372
"KINGS",149752,17.6097433320157,16.0794740265573,"2012",240
"KINGS",149584,17.6097433320157,16.0794740265573,"2013",108
"KINGS",148571,17.6097433320157,16.0794740265573,"2014",72
"KINGS",148571,17.6097433320157,16.0794740265573,"2015",108
"KINGS",147613,17.6097433320157,16.0794740265573,"2016",240
"KINGS",148936,17.6097433320157,16.0794740265573,"2017",276
"KINGS",151092,17.6097433320157,16.0794740265573,"2018",168
