# Title: January - December 2006 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59,97,1.1,57.9
CA-003,Alpine County,California,43.9,87,0.6,43.3
CA-005,Amador County,California,57.7,83,0.5,57.2
CA-007,Butte County,California,59.6,94,0.8,58.8
CA-009,Calaveras County,California,58,78,0.3,57.6
CA-011,Colusa County,California,61.1,90,0.7,60.4
CA-013,Contra Costa County,California,59.8,95,1,58.8
CA-015,Del Norte County,California,52.3,106,1.4,50.8
CA-017,El Dorado County,California,53.9,89,0.6,53.4
CA-019,Fresno County,California,55.5,93,1.1,54.4
CA-021,Glenn County,California,59.8,87,0.6,59.3
CA-023,Humboldt County,California,54.1,105,1.1,53
CA-025,Imperial County,California,74.2,110,2,72.2
CA-027,Inyo County,California,61,101,1.5,59.6
CA-029,Kern County,California,61.8,98,1.3,60.5
CA-031,Kings County,California,63.6,93,1.1,62.5
CA-033,Lake County,California,56.8,89,0.5,56.3
CA-035,Lassen County,California,47.1,98,0.9,46.1
CA-037,Los Angeles County,California,61.9,110,2.1,59.9
CA-039,Madera County,California,56.1,93,1,55.1
CA-041,Marin County,California,55.8,99,0.9,54.8
CA-043,Mariposa County,California,55.3,92,0.8,54.5
CA-045,Mendocino County,California,55.3,95,0.5,54.8
CA-047,Merced County,California,62.1,97,1.1,61
CA-049,Modoc County,California,47,106,1.4,45.6
CA-051,Mono County,California,44.1,91,0.8,43.3
CA-053,Monterey County,California,58.2,95,1,57.2
CA-055,Napa County,California,59.1,96,0.9,58.2
CA-057,Nevada County,California,52.1,82,0.3,51.7
CA-059,Orange County,California,64.6,115,2.3,62.4
CA-061,Placer County,California,53.6,93,0.6,53
CA-063,Plumas County,California,47.6,94,0.8,46.8
CA-065,Riverside County,California,68.6,109,1.8,66.8
CA-067,Sacramento County,California,61.9,93,0.8,61.1
CA-069,San Benito County,California,58.7,98,1.3,57.4
CA-071,San Bernardino County,California,66.9,109,1.9,65.1
CA-073,San Diego County,California,63.5,114,2.2,61.2
CA-075,San Francisco County,California,56.7,95,0.9,55.8
CA-077,San Joaquin County,California,61.8,99,1.1,60.7
CA-079,San Luis Obispo County,California,59,94,1,58
CA-081,San Mateo County,California,56.6,101,1.2,55.4
CA-083,Santa Barbara County,California,58.4,104,1.8,56.6
CA-085,Santa Clara County,California,58.2,101,1.3,56.9
CA-087,Santa Cruz County,California,56.7,94,1,55.7
CA-089,Shasta County,California,54.9,89,0.6,54.3
CA-091,Sierra County,California,47.3,95,0.9,46.4
CA-093,Siskiyou County,California,49.1,101,1.2,47.8
CA-095,Solano County,California,60.7,96,1,59.7
CA-097,Sonoma County,California,56.8,89,0.7,56.1
CA-099,Stanislaus County,California,61.3,93,1,60.4
CA-101,Sutter County,California,62.8,94,1,61.8
CA-103,Tehama County,California,58.3,86,0.4,57.9
CA-105,Trinity County,California,52.3,93,0.7,51.6
CA-107,Tulare County,California,54.5,97,1.3,53.2
CA-109,Tuolumne County,California,50,83,0.4,49.6
CA-111,Ventura County,California,58.1,110,2.1,56
CA-113,Yolo County,California,61.8,95,0.9,60.9
CA-115,Yuba County,California,60.6,91,0.7,59.8
