# Title: January - December 2008 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.1,101,1.2,57.9
CA-003,Alpine County,California,44.4,101,1.1,43.3
CA-005,Amador County,California,58.4,110,1.2,57.2
CA-007,Butte County,California,60,104,1.3,58.8
CA-009,Calaveras County,California,58.7,106,1.1,57.6
CA-011,Colusa County,California,61.7,109,1.3,60.4
CA-013,Contra Costa County,California,60.2,105,1.4,58.8
CA-015,Del Norte County,California,51.5,89,0.7,50.8
CA-017,El Dorado County,California,54.5,106,1.2,53.4
CA-019,Fresno County,California,56.2,112,1.8,54.4
CA-021,Glenn County,California,60.4,103,1.1,59.3
CA-023,Humboldt County,California,53.3,79,0.4,53
CA-025,Imperial County,California,74.4,116,2.2,72.2
CA-027,Inyo County,California,61.4,111,1.9,59.6
CA-029,Kern County,California,62.6,115,2.1,60.5
CA-031,Kings County,California,64.3,112,1.8,62.5
CA-033,Lake County,California,57.3,102,0.9,56.3
CA-035,Lassen County,California,46.9,88,0.7,46.1
CA-037,Los Angeles County,California,62.6,117,2.7,59.9
CA-039,Madera County,California,56.7,109,1.5,55.1
CA-041,Marin County,California,55.9,102,1,54.8
CA-043,Mariposa County,California,56.1,115,1.6,54.5
CA-045,Mendocino County,California,55.2,89,0.3,54.8
CA-047,Merced County,California,62.6,108,1.6,61
CA-049,Modoc County,California,46.3,83,0.8,45.6
CA-051,Mono County,California,44.4,103,1.2,43.3
CA-053,Monterey County,California,58.6,103,1.4,57.2
CA-055,Napa County,California,59.6,107,1.4,58.2
CA-057,Nevada County,California,52.7,103,0.9,51.7
CA-059,Orange County,California,64.9,119,2.6,62.4
CA-061,Placer County,California,54.1,104,1,53
CA-063,Plumas County,California,47.6,94,0.8,46.8
CA-065,Riverside County,California,69,116,2.2,66.8
CA-067,Sacramento County,California,62.2,103,1.1,61.1
CA-069,San Benito County,California,59.1,111,1.7,57.4
CA-071,San Bernardino County,California,67,113,1.9,65.1
CA-073,San Diego County,California,63.7,119,2.5,61.2
CA-075,San Francisco County,California,56.6,89,0.9,55.8
CA-077,San Joaquin County,California,62.1,107,1.3,60.7
CA-079,San Luis Obispo County,California,59.8,114,1.8,58
CA-081,San Mateo County,California,56.5,92,1.1,55.4
CA-083,Santa Barbara County,California,58.9,115,2.3,56.6
CA-085,Santa Clara County,California,58.3,104,1.4,56.9
CA-087,Santa Cruz County,California,56.8,96,1.1,55.7
CA-089,Shasta County,California,55.3,101,1,54.3
CA-091,Sierra County,California,47.4,98,1,46.4
CA-093,Siskiyou County,California,48.7,93,0.8,47.8
CA-095,Solano County,California,61.1,107,1.3,59.7
CA-097,Sonoma County,California,57.1,103,1.1,56.1
CA-099,Stanislaus County,California,61.6,104,1.3,60.4
CA-101,Sutter County,California,63.1,105,1.3,61.8
CA-103,Tehama County,California,59,106,1.1,57.9
CA-105,Trinity County,California,52.2,91,0.6,51.6
CA-107,Tulare County,California,55,113,1.8,53.2
CA-109,Tuolumne County,California,50.7,104,1.1,49.6
CA-111,Ventura County,California,58.6,115,2.6,56
CA-113,Yolo County,California,62.1,105,1.2,60.9
CA-115,Yuba County,California,60.9,103,1.1,59.8
