# Title: January - December 2006 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,21.35,87,2.6,18.75
CA-003,Alpine County,California,36.17,78,0.03,36.14
CA-005,Amador County,California,40.7,90,5.47,35.23
CA-007,Butte County,California,50.47,92,6.06,44.41
CA-009,Calaveras County,California,40.61,94,6.34,34.27
CA-011,Colusa County,California,25.97,89,3.97,22
CA-013,Contra Costa County,California,20.63,84,2.14,18.49
CA-015,Del Norte County,California,98.52,111,18.53,79.99
CA-017,El Dorado County,California,50.13,90,5.49,44.64
CA-019,Fresno County,California,23.48,98,3.88,19.6
CA-021,Glenn County,California,28.97,87,3.09,25.88
CA-023,Humboldt County,California,75.56,104,12.17,63.39
CA-025,Imperial County,California,1.09,7,-2.29,3.38
CA-027,Inyo County,California,4.8,47,-1.44,6.24
CA-029,Kern County,California,7.97,61,-1.08,9.05
CA-031,Kings County,California,9.84,109,2.23,7.61
CA-033,Lake County,California,51.25,92,7.79,43.46
CA-035,Lassen County,California,19.4,61,-1,20.4
CA-037,Los Angeles County,California,12.32,51,-3.24,15.56
CA-039,Madera County,California,27.38,102,4.26,23.12
CA-041,Marin County,California,41.01,92,5.53,35.48
CA-043,Mariposa County,California,35.77,88,2.96,32.81
CA-045,Mendocino County,California,59.9,97,8.29,51.61
CA-047,Merced County,California,12.7,89,1.43,11.27
CA-049,Modoc County,California,16.77,54,-1.3,18.07
CA-051,Mono County,California,15.02,74,-0.61,15.63
CA-053,Monterey County,California,23.08,94,2.98,20.1
CA-055,Napa County,California,34.07,82,2.97,31.1
CA-057,Nevada County,California,54.76,84,4.39,50.37
CA-059,Orange County,California,9.61,43,-3.94,13.55
CA-061,Placer County,California,49.91,87,4.14,45.77
CA-063,Plumas County,California,45.13,84,3.92,41.21
CA-065,Riverside County,California,4.52,15,-3.97,8.49
CA-067,Sacramento County,California,19.67,77,0.98,18.69
CA-069,San Benito County,California,19.12,94,2.38,16.74
CA-071,San Bernardino County,California,3.42,12,-3.44,6.86
CA-073,San Diego County,California,9.48,28,-4.81,14.29
CA-075,San Francisco County,California,30.3,100,6,24.3
CA-077,San Joaquin County,California,15.64,85,1.59,14.05
CA-079,San Luis Obispo County,California,18.21,82,1.05,17.16
CA-081,San Mateo County,California,32.82,88,4.16,28.66
CA-083,Santa Barbara County,California,18.82,75,-0.02,18.84
CA-085,Santa Clara County,California,26.31,92,3.2,23.11
CA-087,Santa Cruz County,California,37.68,88,4.63,33.05
CA-089,Shasta County,California,50.24,103,8.3,41.94
CA-091,Sierra County,California,49.05,86,3.3,45.75
CA-093,Siskiyou County,California,44.03,96,5.22,38.81
CA-095,Solano County,California,22.02,81,2.23,19.79
CA-097,Sonoma County,California,48.17,93,6.15,42.02
CA-099,Stanislaus County,California,15.45,88,1.8,13.65
CA-101,Sutter County,California,19.48,71,0.5,18.98
CA-103,Tehama County,California,40.94,92,4.43,36.51
CA-105,Trinity County,California,64.45,94,6.96,57.49
CA-107,Tulare County,California,23.28,88,1.44,21.84
CA-109,Tuolumne County,California,45.26,91,4.42,40.84
CA-111,Ventura County,California,18.71,72,-1.7,20.41
CA-113,Yolo County,California,21.43,78,1.42,20.01
CA-115,Yuba County,California,41.31,85,3.58,37.73
