# Title: January - December 2011 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,14.53,34,-4.22,18.75
CA-003,Alpine County,California,33.58,61,-2.56,36.14
CA-005,Amador County,California,33.13,61,-2.1,35.23
CA-007,Butte County,California,38.73,50,-5.68,44.41
CA-009,Calaveras County,California,32.11,59,-2.16,34.27
CA-011,Colusa County,California,22.35,72,0.35,22
CA-013,Contra Costa County,California,15.69,42,-2.8,18.49
CA-015,Del Norte County,California,67.35,37,-12.64,79.99
CA-017,El Dorado County,California,41.67,61,-2.97,44.64
CA-019,Fresno County,California,17.62,59,-1.98,19.6
CA-021,Glenn County,California,22.55,48,-3.33,25.88
CA-023,Humboldt County,California,51.17,33,-12.22,63.39
CA-025,Imperial County,California,2.53,47,-0.85,3.38
CA-027,Inyo County,California,3.92,26,-2.32,6.24
CA-029,Kern County,California,6.71,39,-2.34,9.05
CA-031,Kings County,California,6.98,57,-0.63,7.61
CA-033,Lake County,California,37.29,48,-6.17,43.46
CA-035,Lassen County,California,16.68,38,-3.72,20.4
CA-037,Los Angeles County,California,12.03,47,-3.53,15.56
CA-039,Madera County,California,20.05,51,-3.07,23.12
CA-041,Marin County,California,28.49,35,-6.99,35.48
CA-043,Mariposa County,California,28.19,53,-4.62,32.81
CA-045,Mendocino County,California,42.9,36,-8.71,51.61
CA-047,Merced County,California,10.04,55,-1.23,11.27
CA-049,Modoc County,California,14.61,30,-3.46,18.07
CA-051,Mono County,California,13.92,51,-1.71,15.63
CA-053,Monterey County,California,20.3,73,0.2,20.1
CA-055,Napa County,California,27.53,53,-3.57,31.1
CA-057,Nevada County,California,43.47,45,-6.9,50.37
CA-059,Orange County,California,9.47,41,-4.08,13.55
CA-061,Placer County,California,40.14,50,-5.63,45.77
CA-063,Plumas County,California,35.98,47,-5.23,41.21
CA-065,Riverside County,California,6.34,45,-2.15,8.49
CA-067,Sacramento County,California,17.39,57,-1.3,18.69
CA-069,San Benito County,California,17.41,80,0.67,16.74
CA-071,San Bernardino County,California,4.77,34,-2.09,6.86
CA-073,San Diego County,California,12.78,70,-1.51,14.29
CA-075,San Francisco County,California,21.16,45,-3.14,24.3
CA-077,San Joaquin County,California,11.61,42,-2.44,14.05
CA-079,San Luis Obispo County,California,15.48,62,-1.68,17.16
CA-081,San Mateo County,California,22.94,39,-5.72,28.66
CA-083,Santa Barbara County,California,16.36,59,-2.48,18.84
CA-085,Santa Clara County,California,19.71,45,-3.4,23.11
CA-087,Santa Cruz County,California,28.46,51,-4.59,33.05
CA-089,Shasta County,California,35.57,43,-6.37,41.94
CA-091,Sierra County,California,40.07,51,-5.68,45.75
CA-093,Siskiyou County,California,31.04,30,-7.77,38.81
CA-095,Solano County,California,17.16,49,-2.63,19.79
CA-097,Sonoma County,California,32.85,34,-9.17,42.02
CA-099,Stanislaus County,California,11.89,51,-1.76,13.65
CA-101,Sutter County,California,18.17,60,-0.81,18.98
CA-103,Tehama County,California,29.58,36,-6.93,36.51
CA-105,Trinity County,California,46.77,37,-10.72,57.49
CA-107,Tulare County,California,17.94,46,-3.9,21.84
CA-109,Tuolumne County,California,38.92,62,-1.92,40.84
CA-111,Ventura County,California,16.52,53,-3.89,20.41
CA-113,Yolo County,California,18.92,63,-1.09,20.01
CA-115,Yuba County,California,33.62,54,-4.11,37.73
