# Title: January - December 2003 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,16.43,50,-2.32,18.75
CA-003,Alpine County,California,30.43,42,-5.71,36.14
CA-005,Amador County,California,30.63,49,-4.6,35.23
CA-007,Butte County,California,44.84,69,0.43,44.41
CA-009,Calaveras County,California,28.97,45,-5.3,34.27
CA-011,Colusa County,California,26.87,97,4.87,22
CA-013,Contra Costa County,California,16.01,48,-2.48,18.49
CA-015,Del Norte County,California,83.22,79,3.23,79.99
CA-017,El Dorado County,California,38.29,46,-6.35,44.64
CA-019,Fresno County,California,16.46,47,-3.14,19.6
CA-021,Glenn County,California,31.24,98,5.36,25.88
CA-023,Humboldt County,California,67.85,82,4.46,63.39
CA-025,Imperial County,California,2.94,61,-0.44,3.38
CA-027,Inyo County,California,6.57,76,0.33,6.24
CA-029,Kern County,California,8.58,71,-0.47,9.05
CA-031,Kings County,California,6.38,49,-1.23,7.61
CA-033,Lake County,California,51.82,94,8.36,43.46
CA-035,Lassen County,California,19.75,63,-0.65,20.4
CA-037,Los Angeles County,California,14.85,71,-0.71,15.56
CA-039,Madera County,California,19.44,45,-3.68,23.12
CA-041,Marin County,California,31.26,50,-4.22,35.48
CA-043,Mariposa County,California,27.37,49,-5.44,32.81
CA-045,Mendocino County,California,56.91,84,5.3,51.61
CA-047,Merced County,California,9.16,40,-2.11,11.27
CA-049,Modoc County,California,19.58,93,1.51,18.07
CA-051,Mono County,California,12.32,35,-3.31,15.63
CA-053,Monterey County,California,16.41,45,-3.69,20.1
CA-055,Napa County,California,30.45,66,-0.65,31.1
CA-057,Nevada County,California,45.1,53,-5.27,50.37
CA-059,Orange County,California,12.46,69,-1.09,13.55
CA-061,Placer County,California,39.84,47,-5.93,45.77
CA-063,Plumas County,California,37.4,53,-3.81,41.21
CA-065,Riverside County,California,8.21,74,-0.28,8.49
CA-067,Sacramento County,California,16.52,49,-2.17,18.69
CA-069,San Benito County,California,13.67,42,-3.07,16.74
CA-071,San Bernardino County,California,7.58,90,0.72,6.86
CA-073,San Diego County,California,11.98,60,-2.31,14.29
CA-075,San Francisco County,California,21.27,46,-3.03,24.3
CA-077,San Joaquin County,California,11.82,47,-2.23,14.05
CA-079,San Luis Obispo County,California,12.49,33,-4.67,17.16
CA-081,San Mateo County,California,24.98,48,-3.68,28.66
CA-083,Santa Barbara County,California,13.94,44,-4.9,18.84
CA-085,Santa Clara County,California,20.36,50,-2.75,23.11
CA-087,Santa Cruz County,California,28.17,48,-4.88,33.05
CA-089,Shasta County,California,45.49,87,3.55,41.94
CA-091,Sierra County,California,40.2,52,-5.55,45.75
CA-093,Siskiyou County,California,36.68,64,-2.13,38.81
CA-095,Solano County,California,17.6,54,-2.19,19.79
CA-097,Sonoma County,California,41.95,70,-0.07,42.02
CA-099,Stanislaus County,California,10.53,35,-3.12,13.65
CA-101,Sutter County,California,18.29,61,-0.69,18.98
CA-103,Tehama County,California,40.9,91,4.39,36.51
CA-105,Trinity County,California,60.63,80,3.14,57.49
CA-107,Tulare County,California,19.57,57,-2.27,21.84
CA-109,Tuolumne County,California,35.04,49,-5.8,40.84
CA-111,Ventura County,California,18.42,68,-1.99,20.41
CA-113,Yolo County,California,19.09,65,-0.92,20.01
CA-115,Yuba County,California,35.6,61,-2.13,37.73
